zipcode,area,area_short_name,tip,created_by,created_date,last_modified_by,last_modified_date
10001,Manhattan,MW,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10002,Manhattan,LES,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10003,Manhattan,EV,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10004,Manhattan,D,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10005,Manhattan,DE,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10006,Manhattan,DW,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10007,Manhattan,DW,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10009,Manhattan,ABCD,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10010,Manhattan,ME,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10011,Manhattan,MW,$3.00,admin,"2021-03-26 17:56:58",admin,"2021-03-26 17:56:58"
10012,Manhattan,S,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10013,Manhattan,GV,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10014,Manhattan,GV,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10015,Manhattan,W,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10016,Manhattan,ME,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10017,Manhattan,ME,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10018,Manhattan,MW,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10019,Manhattan,W,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10020,Manhattan,W,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10021,Manhattan,UES,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10022,Manhattan,ME,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10023,Manhattan,UWS,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10024,Manhattan,UWS,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10025,Manhattan,UWS,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10026,Manhattan,CH,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10027,Manhattan,CH,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10028,Manhattan,UES,$3.00,admin,"2021-03-26 17:56:59",admin,"2021-03-26 17:56:59"
10029,Manhattan,EH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10030,Manhattan,CH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10031,Manhattan,WH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10032,Manhattan,WH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10033,Manhattan,WH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10034,Manhattan,WH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10035,Manhattan,EH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10036,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10037,Manhattan,CH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10038,Manhattan,DE,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10039,Manhattan,CH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10040,Manhattan,WH,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10041,Manhattan,DE,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10044,Manhattan,UES,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10045,Manhattan,DE,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10048,Manhattan,DW,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10055,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10060,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10069,Manhattan,W,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10090,Manhattan,D,$3.00,admin,"2021-03-26 17:57:00",admin,"2021-03-26 17:57:00"
10095,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10098,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10099,Manhattan,W,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10103,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10104,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10105,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10106,Manhattan,W,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10107,Manhattan,W,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10110,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10111,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10112,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10115,Manhattan,W,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10118,Manhattan,WH,$3.00,admin,"2021-03-26 17:57:01",admin,"2021-03-26 17:57:01"
10119,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10120,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10121,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10122,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10123,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10128,Manhattan,UES,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10151,Manhattan,W,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10152,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10153,Manhattan,E,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10154,Manhattan,E,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10155,Manhattan,E,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10158,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10161,Manhattan,D,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10162,Manhattan,E,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10165,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10166,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10167,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10168,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10169,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10170,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10171,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10172,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10173,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:02",admin,"2021-03-26 17:57:02"
10174,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10175,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10176,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10177,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10178,Manhattan,ME,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10199,Manhattan,MW,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10270,Manhattan,DE,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10271,Manhattan,DW,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10278,Manhattan,D,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10279,Manhattan,DW,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10280,Manhattan,DW,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10281,Manhattan,DW,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10282,Manhattan,DW,$3.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10301,Staten,SI,$5.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10302,Staten,SI,$5.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10303,Staten,SI,$5.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10304,Staten,SI,$5.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10305,Staten,SI,$5.00,admin,"2021-03-26 17:57:03",admin,"2021-03-26 17:57:03"
10306,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10307,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10308,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10309,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10310,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10311,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10312,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10314,Staten,SI,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10451,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10452,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10453,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10454,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10455,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10456,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10457,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10458,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10459,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10460,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10461,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10462,Bronx,BX,$5.00,admin,"2021-03-26 17:57:04",admin,"2021-03-26 17:57:04"
10463,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10464,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10465,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10466,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10467,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10468,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10469,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10470,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10471,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10472,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10473,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10474,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
10475,Bronx,BX,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
11004,Queens,Q,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
11101,Queens,Q,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
11102,Queens,Q,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
11103,Queens,Q,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
11104,Queens,Q,$5.00,admin,"2021-03-26 17:57:05",admin,"2021-03-26 17:57:05"
11105,Queens,Q,$5.00,admin,"2021-03-26 17:57:06",admin,"2021-03-26 17:57:06"
11106,Queens,Q,$5.00,admin,"2021-03-26 17:57:06",admin,"2021-03-26 17:57:06"
11109,Queens,Q,$5.00,admin,"2021-03-26 17:57:06",admin,"2021-03-26 17:57:06"
11201,Brooklyn,BK,$5.00,admin,"2021-03-26 17:57:06",admin,"2021-03-26 17:57:06"
11203,Brooklyn,BK,$5.00,admin,"2021-03-26 17:57:06",admin,"2021-03-26 17:57:06"
11204,Brooklyn,BK,$5.00,admin,"2021-03-26 17:57:06",admin,"2021-03-26 17:57:06"
